topic,1,2,3,4,5,6,7,8,9,10
0,client,screen,major,prefer,keyboard,touch,cozy,mouse,convince,cable
1,never,weekend,market,door,alone,behind,deadline,comfy,alarm,nowhere
2,much,lead,everyday,active,pressure,recognize,rush,wrap,decrease,outcome
3,one,place,yet,given,cold,buddy,stock,asleep,addition,surround
4,base,TRUE,amount,salary,lower,conversation,appreciate,insurance,higher,restaurant
5,right,real,future,light,unless,step,totally,forever,term,hopefully
6,new,anyone,else,york,receive,cover,copy,kit,relatively,asap
7,back,love,create,putting,energy,webex,playlist,ultimately,spotify,compassion
8,find,desk,ever,spend,chair,remember,table,quality,investment,standing
9,bad,pandemic,phone,fast,partner,perk,hand,kitchen,services,direct
10,today,bonus,register,deal,choose,freedom,webinar,department,avoid,curious
11,people,really,help,covid,person,picture,effort,search,web,leaders
12,everyone,making,low,healthy,ice,cream,excellent,physically,bottle,mentally
13,ill,monday,tomorrow,together,process,monitor,routine,begin,sharing,workspace
14,team,project,member,computer,except,normally,planning,truly,tiny,neighborhood
15,give,live,though,believe,save,depend,wish,assistant,additional,afford
16,first,coffee,literally,head,data,drink,recommend,win,highly,science
17,space,winter,concern,style,donut,organize,serve,trouble,presentation,strange
18,benefit,busy,channel,successful,box,thankful,sun,brain,lunchtime,patio
19,happy,schedule,question,reach,click,relate,beauty,present,potential,hawaii
20,going,try,next,already,interest,setup,starting,yoga,posting,roommate
21,since,seem,sell,near,everywhere,display,external,miracle,minor,score
22,set,training,husband,force,gym,reality,exercise,study,across,equipment
23,time,read,clothes,grab,puppy,hospital,anxiety,national,mexico,bark
24,office,without,close,essential,washington,short,refer,daycare,hello,seattle
25,link,daughter,review,bio,immediately,date,daddy,suggestion,deck,meaning
26,call,always,happen,found,guess,conference,simply,gift,fight,possibly
27,week,two,least,story,power,clean,jersey,pain,fear,agency
28,etc,times,walk,hit,whatever,update,hold,supply,shopping,steps
29,enough,early,answer,return,catch,sweet,tweet,beyond,pup,sunset
30,thanks,case,per,minutes,however,park,costs,saving,medical,recommendation
31,tip,lack,technology,saw,inside,neighbor,distract,thread,tablet,cell
32,friend,around,car,traffic,attention,solution,activity,invest,multiple,overall
33,days,month,income,follow,ways,entire,tonight,commuting,finding,testing
34,think,le,area,productive,gon,switch,special,front,period,reduce
35,online,enjoy,coworkers,finally,hot,awesome,negative,norm,lately,pot
36,lol,plus,fucking,towards,resume,remain,blow,arrive,powerful,congrats
37,lunch,eat,snack,wash,eyes,luckily,bore,dish,glass,bowl
38,come,tell,idea,situation,currently,either,hands,responsible,scale,washing
39,little,health,face,forget,mental,waiting,ass,shower,sunday,fill
40,sure,care,taking,email,please,add,sign,document,shout,stays
41,pay,possible,cat,hall,interview,terms,expert,smart,thru,garbage
42,good,morning,message,baby,state,favorite,struggle,flexible,code,actual
43,run,entrepreneur,goal,result,weather,bill,platform,common,suggest,adult
44,post,things,miss,million,far,list,visit,single,quickly,field
