household_key,category_total,quantity_average,quantity_min,quantity_max,sales_average,sales_total,sales_min,sales_max,coupon_total,coupon_average,coupon_min,coupon_max,num_national_average,num_national_min,num_national_max,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,PAlive,clv,cluster
1,28,36.98148148148148,1,122,78.6962962962963,4249.6,260.86,1.09,-78.56,-1.4548148148148148,-13.680000000000001,0,28.22222222222222,1,100,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9995700121992662,4034.460380294901,4
7,34,25.06451612903226,1,167,54.34919354838709,3369.6499999999996,261.14999999999986,1.99,-30.4,-0.4903225806451613,-7,0,12.419354838709678,0,86,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9998641194196216,3291.883906116137,2
8,33,37.13846153846154,1,213,81.042,5267.7300000000005,314.65999999999997,2.99,-26.85,-0.41307692307692306,-4,0,23.215384615384615,1,102,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,0.9995180012197019,4976.2318213959525,4
13,31,56.12068965517241,1,279,146.01913793103446,8469.11,755.5099999999993,2,-289.37,-4.989137931034483,-38.25,0,28.275862068965516,1,109,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,0.9998187315813177,8236.772831188455,1
16,29,11.916666666666666,1,68,27.473333333333336,1318.72,142.34999999999997,1.19,-1,-0.020833333333333332,-1,0,8.479166666666666,0,59,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,0.9909307832326939,684.7640301555437,2
17,33,33.5,1,192,76.3096551724138,4425.96,678.2800000000003,0.99,-76.5,-1.3189655172413792,-72,0,11.568965517241379,0,67,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9896766993382352,2156.4254292312144,2
18,31,40.63793103448276,1,223,110.62017241379313,6415.970000000002,935.5400000000006,1.3900000000000001,-59.13,-1.0194827586206896,-7.25,0,24.517241379310345,0,201,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,1.0000000000000853,6353.0683333874995,1
19,34,87.25,1,515,155.49156250000001,9951.460000000001,1019.7099999999999,1.29,-18.84,-0.294375,-4.2,0,53.109375,0,300,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,0.999999999999865,9853.896666533628,1
20,31,45.758620689655174,1,192,104.2298275862069,6045.33,506.4899999999994,1.22,-20,-0.3448275862068966,-3.25,0,20.103448275862068,0,104,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,0.9999999999998721,5986.062058746964,4
22,28,35.49090909090909,1,176,94.41418181818182,5192.78,375.3699999999998,0,-51.99,-0.9452727272727273,-19.85,0,23.654545454545456,0,123,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1.0000000000000426,5141.870392178779,4
25,31,22.25,1,90,54.10303571428572,3029.77,625.2700000000002,0.75,-39.88,-0.7121428571428572,-20,0,12.357142857142858,0,63,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,0.9994509826966104,2843.9297104812117,2
27,27,65.04166666666667,1,808,119.13624999999995,5718.539999999997,2654.389999999997,0.5,-18.3,-0.38125,-10,0,44.604166666666664,0,684,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown,0.9999999999999147,5662.475882304652,4
31,33,24.05263157894737,1,169,57.78298245614035,3293.63,341.22,0.7899999999999999,-251.97,-4.420526315789473,-41.56,0,14.842105263157896,0,86,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.999932526263184,3239.481517470894,2
39,32,35.41935483870968,1,170,80.3416129032258,4981.179999999999,368.8099999999997,2,-15.790000000000001,-0.25467741935483873,-2,0,23.193548387096776,0,118,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9943116495908284,3143.953808602639,4
40,32,69.33333333333333,2,417,159.03000000000006,10018.890000000003,798.9000000000007,2,-18.9,-0.3,-9.5,0,34.80952380952381,0,296,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9999189585260184,9840.91337570606,1
42,26,31.386363636363637,0,160,44.77522727272728,1970.1100000000001,185.23000000000008,0,-15.75,-0.35795454545454547,-3,0,12.340909090909092,0,52,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,0.9999311539944894,1937.4565814302598,2
43,26,10.414634146341463,1,152,21.736097560975622,891.1800000000005,466.22000000000054,0.79,-6.1,-0.14878048780487804,-5.5,0,6.121951219512195,0,127,35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,0.9999304639496466,876.3491552776138,2
46,33,45.203125,1,204,127.57765625000002,8164.970000000001,665.6500000000007,1.29,-19.97,-0.31203125,-8.98,0,25.734375,0,148,45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,0.999999999999929,8084.921274452351,1
48,26,9.4,1,62,23.841555555555555,1072.87,166.70999999999998,0.67,-5.5,-0.12222222222222222,-3.5,0,5.733333333333333,0,54,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9998610544069794,1047.7930440794146,2
49,33,41.09230769230769,1,442,83.65815384615385,5437.78,369.09999999999997,2.5,-13.34,-0.20523076923076922,-9.09,0,20.184615384615384,0,131,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.998692391041695,4761.809902718545,4
52,33,31.828125,1,228,78.68656250000001,5035.9400000000005,349.06000000000006,1.29,-1,-0.015625,-1,0,21.046875,0,134,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9999999999999716,4986.568039201509,4
55,28,8.673469387755102,1,45,21.893673469387757,1072.79,126.67,0.79,0,0,0,0,5.755102040816326,0,34,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9986983921989431,939.9303795350673,2
56,32,45.82258064516129,1,188,106.88080645161291,6626.610000000001,398.26000000000016,1.67,-37.22,-0.6003225806451613,-10.14,0,26,0,100,55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,0.9998264498334913,6449.708437960082,1
57,30,25.49122807017544,0,151,51.20280701754387,2918.5600000000004,409.51000000000016,0,-5.84,-0.10245614035087719,-3.29,0,13.543859649122806,1,78,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9998394193537823,2844.2731447069914,2
