household_key,department_total,commodity_total,commodity_sub_total,quantity_average,quantity_min,quantity_max,sales_total,sales_min_item,sales_max_item,coupon_total,coupon_average_item,coupon_min_item,coupon_max_item,num_national,num_products,national_brand_percent,PAlive,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,clv,cluster
1,13,128,303,1.1563404748118125,0,6,4330.16,0,12.5,-803.75,-0.4654024319629415,-12.95,0,1524,1727,0.8824551244933411,0.9995700121992662,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,4110.941961675868,4
2,12,141,299,1.1680672268907564,0,5,1954.34,0,21.99,-343.99,-0.48177871148459384,-10.62,0,546,714,0.7647058823529411,0.9791283795722462,NA,NA,NA,NA,NA,NA,NA,626.8474984817535,4
3,12,110,220,9.262472885032539,0,6949,2653.21,0,29.37,-756.15,-0.820119305856833,-32.96,0,749,922,0.8123644251626898,0.9992879381356395,NA,NA,NA,NA,NA,NA,NA,2452.5606466069,1
4,9,63,110,1.2691029900332227,0,6,1200.1100000000001,0,37.34,-118.15,-0.3925249169435216,-13.45,0,255,301,0.8471760797342193,0.9081757138333764,NA,NA,NA,NA,NA,NA,NA,116.70538143932451,4
5,9,76,125,1.1036036036036037,1,4,779.0600000000001,0.34,21.99,-118.33,-0.5330180180180181,-9.63,0,174,222,0.7837837837837838,0.9993647658218358,NA,NA,NA,NA,NA,NA,NA,725.3457177713976,4
6,18,154,348,52.86990508096036,0,14638,5996.16,0,41.7,-832.34,-0.46473478503629256,-10.96,0,1350,1791,0.7537688442211056,0.9994118573490134,NA,NA,NA,NA,NA,NA,NA,5607.569064149135,3
7,13,157,348,1.208398133748056,0,5,3400.05,0,25.99,-518.06,-0.40284603421461895,-7.48,0,770,1286,0.5987558320373251,0.9998641194196216,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,3321.582323087019,4
8,20,180,462,34.529055078322386,0,13552,5534.97,0,38.97,-1108.5,-0.5601313794845881,-21.73,0,1514,1979,0.7650328448711471,0.9995180012197019,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,5228.683672942985,3
9,8,72,100,1.6045454545454545,1,10,797.42,0,15.99,-183.1,-0.8322727272727273,-22.9,0,150,220,0.6818181818181818,0.9979038134245991,NA,NA,NA,NA,NA,NA,NA,652.7694922203822,4
10,9,40,44,1.542857142857143,1,5,234.34,0.27,20,-24.84,-0.35485714285714287,-4.6,0,46,70,0.6571428571428571,0.9981007974094266,NA,NA,NA,NA,NA,NA,NA,195.00680592112326,4
11,6,14,17,1.1111111111111112,1,2,33.39,0.62,3.99,-10.98,-0.61,-2.99,0,11,18,0.6111111111111112,0.8427226094075112,NA,NA,NA,NA,NA,NA,NA,1.9765161891704046,4
12,7,48,64,1.1704545454545454,1,6,266.21,0.4,13.35,-32.7,-0.3715909090909091,-3.45,0,66,88,0.75,0.9305690977436014,NA,NA,NA,NA,NA,NA,NA,33.1860888585061,4
